Setor;Nome;Ticker;Preço de Fechamento;Retorno Cota;DY Corrente;Liquidez Diária (MM);Desconto;Valor de Mercado (MM);Valor de Mercado/m²
Shoppings;BB PREMIUM MALLS;BBIG11; R$ 6,59 ;-0,45%;12,75%; R$ 0,86 ;-30,53%;653,21;46.871,03
Shoppings;BTG PACTUAL SHOPPINGS;BPML11; R$ 90,00 ;0,90%;12,27%; R$ 1,33 ;-27,60%;669,76;5.555,49
Shoppings;CAPITÂNIA SHOPPINGS;CPSH11; R$ 10,04 ;-1,76%;13,15%; R$ 7,80 ;-13,78%;1.236,56;37.995,04
Shoppings;GAZIT MALLS;GZIT11; R$ 41,75 ;-0,12%;12,07%; R$ 0,43 ;-52,17%;972,68;12.500,22
Shoppings;HEDGE BRASIL SHOPPING;HGBS11; R$ 19,88 ;-0,55%;10,26%; R$ 7,31 ;-3,73%;2.567,16;10.981,98
Shoppings;HSI MALLS;HSML11; R$ 90,22 ;-0,68%;9,98%; R$ 10,48 ;-12,96%;1.924,39;11.866,17
Shoppings;PÁTRIA MALLS;PMLL11; R$ 105,69 ;0,04%;11,35%; R$ 4,28 ;-9,67%;1.477,77;10.735,26
Shoppings;VINCI SHOPPING CENTERS;VISC11; R$ 105,69 ;-0,80%;9,54%; R$ 11,45 ;-9,01%;3.046,90;11.347,42
Shoppings;XP MALLS;XPML11; R$ 106,40 ;-0,02%;10,38%; R$ 20,92 ;-3,37%;6.842,38;22.588,46
Logística;BRESCO LOGÍSTICA;BRCO11; R$ 115,96 ;-1,23%;9,83%; R$ 7,67 ;-0,05%;2.089,75;4.389,98
Logística;BTG PACTUAL LOGÍSTICA;BTLG11; R$ 103,35 ;-0,55%;9,40%; R$ 11,84 ;0,86%;5.509,62;3.982,65
Logística;GGR COVEPI RENDA;GGRC11; R$ 9,98 ;-0,50%;12,02%; R$ 12,91 ;-9,92%;2.138,21;2.567,29
Logística;HSI LOGÍSTICA;HSLG11; R$ 88,10 ;-0,79%;10,08%; R$ 0,83 ;-19,63%;1.115,35;2.856,15
Logística;PÁTRIA LOG;HGLG11; R$ 154,95 ;0,19%;8,52%; R$ 14,10 ;-6,93%;6.733,43;4.522,42
Logística;RBR LOG;RBRL11; R$ 81,40 ;0,14%;8,85%; R$ 0,42 ;-19,80%;544,32;2.604,95
Logística;RIZA ARCTIUM REAL ESTATE;RZAT11; R$ 97,58 ;0,08%;20,91%; R$ 0,85 ;-6,25%;413,26;2.126,79
Logística;TELLUS RIO BRAVO RENDA LOGÍSTICA;TRBL11; R$ 61,98 ;-1,85%;16,46%; R$ 1,45 ;-22,70%;479,67;3.185,65
Logística;VBI LOGÍSTICO;LVBI11; R$ 105,45 ;-0,26%;8,53%; R$ 4,49 ;-12,37%;1.699,70;3.164,96
Logística;VINCI LOGÍSTICA;VILG11; R$ 94,03 ;-1,67%;10,46%; R$ 4,89 ;-16,22%;1.410,21;2.823,25
Logística;XP LOG;XPLG11; R$ 94,28 ;-1,69%;10,44%; R$ 9,97 ;-10,68%;4.845,06;4.903,79
CRI;AF INVEST CRI RECEBÍVEIS IMOBILIÁRIOS;AFHI11; R$ 96,28 ;-0,12%;12,84%; R$ 0,54 ;0,84%;461,10;
CRI;BANESTES RECEBÍVEIS IMOBILIÁRIOS;BCRI11; R$ 60,52 ;-0,13%;15,47%; R$ 0,48 ;-28,84%;378,73;
CRI;BTG PACTUAL CRÉDITO IMOBILIÁRIO FUNDO DE CRI;BTCI11; R$ 9,26 ;0,33%;12,31%; R$ 6,07 ;-8,86%;921,57;
CRI;CAPITÂNIA SECURITIES II;CPTS11; R$ 7,59 ;-0,52%;14,23%; R$ 6,90 ;-14,26%;2.758,99;
CRI;CARTESIA RECEBÍVEIS IMOBILIÁRIOS;CACR11; R$ 24,65 ;-5,19%;11,20%; R$ 1,21 ;-74,33%;119,22;
CRI;CLAVE ÍNDICES DE PREÇOS;CLIN11; R$ 91,80 ;-0,26%;12,42%; R$ 0,92 ;-6,98%;399,03;
CRI;CYRELA CRÉDITO;CYCR11; R$ 8,75 ;-1,24%;14,54%; R$ 0,62 ;-7,28%;319,81;
