Código;Nome do Fundo;Coordenador ;Segmento;Emissão;Montante-base (R$ MM);Preço de Subscrição (R$);Cotação do Fundo (R$)*;Preço Subs. Vs Cotação;Início da Reserva;Encerr. da Reserva
RECR11;FII REC RECEBÍVEIS IMOBILIÁRIOS;APEX GROUP;RECEB. IMOB.;13ª;410;89;82,26;8,20%;20/04/2026;30/10/2026
TINF11;FII RBR TESOURARIA FII IPCA+;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;HÍBRIDO;1ª;300;10;;;;07/05/2026
TPOS11;FII RBR TESOURARIA FII CDI+;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;HÍBRIDO;1ª;300;10;;;;07/05/2026
PMLL112;FII PÁTRIA MALLS ;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;SHOPPING;7ª;1.000;117,28;107,55;9,00%;02/06/2026;03/11/2026
KNPL111;FII KINEA PLATAFORMA RESIDENCIAL;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;RESIDENCIAL;1ª;1.946;100,5;;;06/06/2026;24/11/2026
RZRM11;FII RIZA MALLS RPPS;XP INVESTIMENTOS ;HEDGE FUND;1ª;1000;100;;;11/06/2026;30/07/2026
SNEL11;FII SUNO ENERGIAS LIMPAS;QI TECH;ENERGIA;5ª;1841;8,65;8,34;3,70%;23/06/2026;21/08/2026
MXRF11;FII MAXI RENDA;XP INVESTIMENTOS;RECEB. IMOB.;12ª;1000;9,91;9,63;2,90%;01/07/2026;27/07/2026
KNSC11;FII KINEA SECURITIES;XP INVESTIMENTOS;RECEB. IMOB.;6ª;400;8,95;9,1;-1,60%;31/07/2026;28/09/2026
FTRR11;FII FATOR RECEBÍVEIS IMOBILIÁRIOS;BANCO FATOR;RECEB. IMOB.;1ª;400;10;;;09/06/2026;03/08/2026
FATN11;FII BRC RENDA CORPORATIVA;BR CAPITA;ESCRITÓRIOS;7ª;300;100;79,5;25,80%;22/06/2026;19/11/2026
INHF11;FII INTER HEDGE;BANCO INTER;HEDGE FUND;2ª;250;10,39;;;16/07/2026;10/08/2026
HGBS11;FII HEDGE BRASIL SHOPPING;HEDGE INVESTMENTS;SHOPPINGS;12ª;246;20,5;19,13;7,20%;12/08/2026;08/02/2027
VIOL11;FII VINCI OPORT. LOGÍSTICAS;HEDGE INVESTMENTS;LOGÍSTICO;2ª;200;100;;;23/07/2026;28/12/2026
URPR11;FII URCA PRIME RENDA;MAX CAPITAL;RECEB. IMOB.;9ª;158;22,1;19,15;15,40%;05/08/2026;22/12/2026
GSFI11;FII GENERAL SHOPPING E OUTLETS;PLANNER CORRETORA DE VALORES S.A.;SHOPPINGS;6ª;105;10,89;11,55;-5,70%;23/04/2026;07/10/2026
